timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2022-01-31T00:00:00.000Z,2022-02-06T23:59:59.999Z,2022-02-06T23:46:00.000Z,2022-02-03T10:31:00.000Z,2781,37920.28099,42500.78693,36375.53734,42412.43424,143977109318,803744511638,2022-02-06T23:59:59.999Z
2022-01-24T00:00:00.000Z,2022-01-30T23:59:59.999Z,2022-01-26T19:10:00.000Z,2022-01-24T11:07:00.000Z,2781,36275.73295,38825.40869,33184.05957,37917.60273,178727434895,718325967803,2022-01-30T23:59:59.999Z
2022-01-17T00:00:00.000Z,2022-01-23T23:59:59.999Z,2022-01-20T16:07:00.000Z,2022-01-22T10:14:00.000Z,2781,43118.1201,43413.02394,34349.24919,36276.80469,196326044072,687012848062,2022-01-23T23:59:59.999Z
2022-01-10T00:00:00.000Z,2022-01-16T23:59:59.999Z,2022-01-13T14:41:00.000Z,2022-01-10T14:37:00.000Z,2781,41910.23083,44278.42326,39796.57171,43113.88011,199473804543,816211499221,2022-01-16T23:59:59.999Z
2022-01-03T00:00:00.000Z,2022-01-09T23:59:59.999Z,2022-01-03T12:19:00.000Z,2022-01-08T18:13:00.000Z,2781,47343.54377,47510.72617,40672.27545,41911.60154,276182787151,793156354744,2022-01-09T23:59:59.999Z
2021-12-27T00:00:00.000Z,2022-01-02T23:59:59.999Z,2021-12-27T17:43:02.000Z,2021-12-31T20:01:00.000Z,2781,50802.60893,51956.32635,45819.95455,47345.22056,203998848910,895688387523,2022-01-02T23:59:59.999Z
2021-12-20T00:00:00.000Z,2021-12-26T23:59:59.999Z,2021-12-24T19:11:02.000Z,2021-12-20T14:23:02.000Z,2781,46707.06445,51814.02851,45579.81014,50809.51501,175052499791,960899995735,2021-12-26T23:59:59.999Z
2021-12-13T00:00:00.000Z,2021-12-19T23:59:59.999Z,2021-12-13T00:17:02.000Z,2021-12-18T02:06:02.000Z,2781,50114.74099,50204.99826,45598.44261,46707.01488,214770398202,883011296030,2021-12-19T23:59:59.999Z
2021-12-06T00:00:00.000Z,2021-12-12T23:59:59.999Z,2021-12-07T15:46:02.000Z,2021-12-11T00:19:02.000Z,2781,49413.4791,51934.7819,46942.34782,50098.33514,208148497532,946823114555,2021-12-12T23:59:59.999Z
2021-11-29T00:00:00.000Z,2021-12-05T23:59:59.999Z,2021-11-30T15:17:04.000Z,2021-12-04T05:28:02.000Z,2781,57291.90473,59113.4009,42874.61686,49368.8471,276690611811,932695365142,2021-12-05T23:59:59.999Z
2021-11-22T00:00:00.000Z,2021-11-28T23:59:59.999Z,2021-11-25T16:05:02.000Z,2021-11-26T23:59:02.000Z,2781,58706.84938,59367.96799,53569.76396,57248.45838,243930001011,1081180416262,2021-11-28T23:59:59.999Z
2021-11-15T00:00:00.000Z,2021-11-21T23:59:59.999Z,2021-11-15T09:15:02.000Z,2021-11-19T03:46:02.000Z,2781,65521.28934,66281.56971,55705.18068,58730.47664,253419951009,1108812311533,2021-11-21T23:59:59.999Z
2021-11-08T00:00:00.000Z,2021-11-14T23:59:59.999Z,2021-11-10T14:17:02.000Z,2021-11-12T16:46:02.000Z,2781,63344.06722,68789.62594,62333.91311,65466.84102,259776276521,1235578996842,2021-11-14T23:59:59.999Z
2021-11-01T00:00:00.000Z,2021-11-07T23:59:59.999Z,2021-11-02T16:02:02.000Z,2021-11-01T04:03:02.000Z,2781,61320.44949,64242.79489,59695.18309,63326.98903,227064607870,1194778776481,2021-11-07T23:59:59.999Z
2021-10-25T00:00:00.000Z,2021-10-31T23:59:59.999Z,2021-10-25T16:54:02.000Z,2021-10-28T18:40:02.000Z,2781,60893.92758,63729.32571,58206.91786,61318.95777,256114057651,1156485845063,2021-10-31T23:59:59.999Z
2021-10-18T00:00:00.000Z,2021-10-24T23:59:59.999Z,2021-10-20T14:53:02.000Z,2021-10-24T16:11:02.000Z,2781,61548.80343,66930.38727,59643.34538,60930.83644,257856648063,1148743134468,2021-10-24T23:59:59.999Z
2021-10-11T00:00:00.000Z,2021-10-17T23:59:59.999Z,2021-10-15T20:28:02.000Z,2021-10-13T09:10:02.000Z,2781,54734.12484,62757.1297,54370.97323,61553.61738,277084548345,1160077513368,2021-10-17T23:59:59.999Z
2021-10-04T00:00:00.000Z,2021-10-10T23:59:59.999Z,2021-10-10T20:27:02.000Z,2021-10-04T15:03:02.000Z,2781,48208.90763,56401.30424,47045.00375,54771.57918,261919545520,1031909532688,2021-10-10T23:59:59.999Z
2021-09-27T00:00:00.000Z,2021-10-03T23:59:59.999Z,2021-10-03T18:06:02.000Z,2021-09-29T00:16:02.000Z,2781,43234.18493,49130.69221,40829.66928,48199.95156,223042115393,907791525236,2021-10-03T23:59:59.999Z
2021-09-20T00:00:00.000Z,2021-09-26T23:59:59.999Z,2021-09-20T00:02:02.000Z,2021-09-21T21:20:02.000Z,2781,47261.4065,47328.19884,39787.6098,43208.5391,270099994434,813490665613,2021-09-26T23:59:59.999Z
2021-09-13T00:00:00.000Z,2021-09-19T23:59:59.999Z,2021-09-18T09:20:02.000Z,2021-09-13T14:20:02.000Z,2781,46057.21533,48791.77937,43591.32078,47260.21733,226141953164,889472404520,2021-09-19T23:59:59.999Z
2021-09-06T00:00:00.000Z,2021-09-12T23:59:59.999Z,2021-09-07T03:22:30.000Z,2021-09-07T15:10:03.000Z,2781,51769.00432,52853.7638,43285.20859,46063.27036,293311066612,866636671662,2021-09-12T23:59:59.999Z
2021-08-30T00:00:00.000Z,2021-09-05T23:59:59.999Z,2021-09-05T22:58:03.000Z,2021-09-01T01:22:57.000Z,2781,48834.85268,51868.68163,46562.43745,51753.41193,256225023618,973354882473,2021-09-05T23:59:59.999Z
2021-08-23T00:00:00.000Z,2021-08-29T23:59:59.999Z,2021-08-23T11:56:03.000Z,2021-08-27T00:21:13.000Z,2781,49291.67737,50482.07641,46394.28309,48829.8326,223947952688,918057300166,2021-08-29T23:59:59.999Z
2021-08-16T00:00:00.000Z,2021-08-22T23:59:59.999Z,2021-08-21T17:52:03.000Z,2021-08-19T04:19:03.000Z,2781,47019.96132,49717.01892,43998.31551,49321.65405,236289722725,926961622395,2021-08-22T23:59:59.999Z
2021-08-09T00:00:00.000Z,2021-08-15T23:59:59.999Z,2021-08-14T09:44:03.000Z,2021-08-09T01:15:03.000Z,2781,43791.92742,48098.68409,42848.68795,47047.00454,234268000892,883882942188,2021-08-15T23:59:59.999Z
2021-08-02T00:00:00.000Z,2021-08-08T23:59:59.999Z,2021-08-08T06:43:03.000Z,2021-08-05T12:47:03.000Z,2781,39907.26285,45282.35328,37458.00399,43798.11768,277870527724,822545074286,2021-08-08T23:59:59.999Z
2021-07-26T00:00:00.000Z,2021-08-01T23:59:59.999Z,2021-08-01T03:58:23.000Z,2021-07-26T00:04:18.000Z,2781,35384.02988,42541.67948,35287.31171,39974.89603,296428742217,750472428208,2021-08-01T23:59:59.999Z
2021-07-19T00:00:00.000Z,2021-07-25T23:59:59.999Z,2021-07-25T23:57:11.000Z,2021-07-20T14:18:13.000Z,2781,31800.01264,35364.92558,29360.95584,35350.18697,156414750211,663401935103,2021-07-25T23:59:59.999Z
2021-07-12T00:00:00.000Z,2021-07-18T23:59:59.999Z,2021-07-12T04:23:03.000Z,2021-07-16T11:45:03.000Z,2781,34254.01659,34592.1556,31100.67337,31796.81014,147501894179,596513309277,2021-07-18T23:59:59.999Z
2021-07-05T00:00:00.000Z,2021-07-11T23:59:59.999Z,2021-07-05T00:00:03.000Z,2021-07-08T11:05:03.000Z,2781,35284.34443,35284.34443,32133.18273,34240.18701,178445862440,642138104626,2021-07-11T23:59:59.999Z
